Date,EONIA_ESTR
2014-06-02,0.14100000000000001
2014-06-03,0.106
2014-06-04,0.05699999999999998
2014-06-05,0.01899999999999999
2014-06-06,-0.018000000000000002
2014-06-09,-0.03200000000000001
2014-06-10,-0.020000000000000004
2014-06-11,-0.02500000000000001
2014-06-12,-0.04200000000000001
2014-06-13,-0.05900000000000001
2014-06-16,-0.05800000000000001
2014-06-17,-0.05500000000000001
2014-06-18,-0.07
2014-06-19,-0.07500000000000001
2014-06-20,-0.060000000000000005
2014-06-23,-0.054000000000000006
2014-06-24,-0.04900000000000001
2014-06-25,-0.04200000000000001
2014-06-26,-0.04900000000000001
2014-06-27,-0.060000000000000005
2014-06-30,0.251
2014-07-01,-0.05900000000000001
2014-07-02,-0.062000000000000006
2014-07-03,-0.053000000000000005
2014-07-04,-0.053000000000000005
2014-07-07,-0.05600000000000001
2014-07-08,-0.05800000000000001
2014-07-09,-0.052000000000000005
2014-07-10,-0.04900000000000001
2014-07-11,-0.035
2014-07-14,-0.03300000000000001
2014-07-15,-0.051000000000000004
2014-07-16,-0.04900000000000001
2014-07-17,-0.046000000000000006
2014-07-18,-0.04800000000000001
2014-07-21,-0.037000000000000005
2014-07-22,-0.044000000000000004
2014-07-23,-0.038000000000000006
2014-07-24,-0.043000000000000003
2014-07-25,-0.04200000000000001
2014-07-28,-0.04100000000000001
2014-07-29,-0.053000000000000005
2014-07-30,-0.05
2014-07-31,0.09199999999999998
2014-08-01,-0.062000000000000006
2014-08-04,-0.05600000000000001
2014-08-05,-0.054000000000000006
2014-08-06,-0.064
2014-08-07,-0.07100000000000001
2014-08-08,-0.066
2014-08-11,-0.07500000000000001
2014-08-12,-0.07600000000000001
2014-08-13,-0.066
2014-08-14,-0.07100000000000001
2014-08-15,-0.078
2014-08-18,-0.079
2014-08-19,-0.08
2014-08-20,-0.07200000000000001
2014-08-21,-0.07100000000000001
2014-08-22,-0.079
2014-08-25,-0.066
2014-08-26,-0.07600000000000001
2014-08-27,-0.07400000000000001
2014-08-28,-0.08900000000000001
2014-08-29,0.016
2014-09-01,-0.098
2014-09-02,-0.09200000000000001
2014-09-03,-0.09100000000000001
2014-09-04,-0.082
2014-09-05,-0.085
2014-09-08,-0.082
2014-09-09,-0.07300000000000001
2014-09-10,-0.10900000000000001
2014-09-11,-0.101
2014-09-12,-0.099
2014-09-15,-0.096
2014-09-16,-0.078
2014-09-17,-0.078
2014-09-18,-0.082
2014-09-19,-0.078
2014-09-22,-0.083
2014-09-23,-0.07
2014-09-24,-0.063
2014-09-25,-0.08800000000000001
2014-09-26,-0.10200000000000001
2014-09-29,-0.10700000000000001
2014-09-30,0.112
2014-10-01,-0.117
2014-10-02,-0.11800000000000001
2014-10-03,-0.13
2014-10-06,-0.099
2014-10-07,-0.11800000000000001
2014-10-08,-0.1
2014-10-09,-0.1
2014-10-10,-0.09100000000000001
2014-10-13,-0.10300000000000001
2014-10-14,-0.111
2014-10-15,-0.096
2014-10-16,-0.097
2014-10-17,-0.099
2014-10-20,-0.08800000000000001
