model,train_years,horizon,horizon_days,checkpoint_index,checkpoint_date,rmse,rmdse
MLP,1Y,6M,126,4712,2023-02-03,1.0803794860839844,0.5997186303138733
MLP,1Y,6M,126,4722,2023-02-17,1.1156085729599,0.6570888161659241
MLP,1Y,6M,126,4732,2023-03-03,1.229103446006775,0.8258043527603149
MLP,1Y,6M,126,4742,2023-03-17,1.0206754207611084,0.6382455825805664
MLP,1Y,6M,126,4752,2023-03-31,0.8520273566246033,0.47518935799598694
MLP,1Y,6M,126,4762,2023-04-18,0.8850816488265991,0.5077528953552246
MLP,1Y,6M,126,4772,2023-05-02,1.0144520998001099,0.5947839617729187
MLP,1Y,6M,126,4782,2023-05-16,0.9807710647583008,0.6542668342590332
MLP,1Y,6M,126,4792,2023-05-30,0.8983233571052551,0.630933940410614
MLP,1Y,6M,126,4802,2023-06-13,0.9265438914299011,0.671149492263794
MLP,1Y,6M,126,4812,2023-06-27,0.8961037993431091,0.5895565748214722
MLP,1Y,6M,126,4822,2023-07-11,0.8227429389953613,0.5738954544067383
MLP,1Y,6M,126,4832,2023-07-25,0.8224531412124634,0.525334894657135
MLP,1Y,6M,126,4842,2023-08-08,0.7792093753814697,0.49114108085632324
MLP,1Y,6M,126,4852,2023-08-22,0.7784056067466736,0.4683551490306854
MLP,1Y,6M,126,4862,2023-09-05,1.285780906677246,0.90469890832901
MLP,1Y,6M,126,4872,2023-09-19,0.7536972165107727,0.482540100812912
MLP,1Y,6M,126,4882,2023-10-03,0.8810134530067444,0.4936537742614746
MLP,1Y,6M,126,4892,2023-10-17,0.7255505323410034,0.3746357560157776
MLP,1Y,6M,126,4902,2023-10-31,0.8155394792556763,0.5704955458641052
MLP,1Y,6M,126,4912,2023-11-14,0.6876530647277832,0.4279368221759796
MLP,1Y,6M,126,4922,2023-11-28,0.8121300935745239,0.5309792160987854
MLP,1Y,6M,126,4932,2023-12-12,0.7253607511520386,0.41321855783462524
MLP,1Y,6M,126,4942,2023-12-28,0.7992974519729614,0.48750731348991394
MLP,1Y,6M,126,4952,2024-01-12,0.7635296583175659,0.46463266015052795
MLP,1Y,6M,126,4962,2024-01-26,0.83206707239151,0.5320717692375183
MLP,1Y,6M,126,4972,2024-02-09,0.8673023581504822,0.5503410696983337
MLP,1Y,6M,126,4982,2024-02-23,0.8372687101364136,0.5266608595848083
MLP,1Y,6M,126,4992,2024-03-08,0.8884814381599426,0.5731191635131836
MLP,1Y,6M,126,5002,2024-03-22,0.9674322009086609,0.7028219103813171
MLP,1Y,6M,126,5012,2024-04-09,1.0292598009109497,0.6675165295600891
MLP,1Y,6M,126,5022,2024-04-23,1.0447893142700195,0.717589259147644
MLP,1Y,6M,126,5032,2024-05-07,1.040697693824768,0.7006691098213196
MLP,1Y,6M,126,5042,2024-05-21,1.0847833156585693,0.7550945281982422
MLP,1Y,6M,126,5052,2024-06-04,1.127163052558899,0.7635751962661743
MLP,1Y,6M,126,5062,2024-06-18,1.0821830034255981,0.8711368441581726
MLP,1Y,6M,126,5072,2024-07-02,1.4359731674194336,1.1610605716705322
MLP,1Y,6M,126,5082,2024-07-16,1.2576026916503906,0.9594790935516357
MLP,1Y,6M,126,5092,2024-07-30,1.0906902551651,0.7305736541748047
MLP,1Y,6M,126,5102,2024-08-13,1.1954500675201416,0.7947314977645874
MLP,1Y,6M,126,5112,2024-08-27,1.1072732210159302,0.744297444820404
MLP,1Y,6M,126,5122,2024-09-10,1.529159665107727,1.09848952293396
MLP,1Y,6M,126,5132,2024-09-24,1.6789156198501587,1.1014962196350098
MLP,1Y,6M,126,5142,2024-10-08,1.5190441608428955,0.9915967583656311
MLP,1Y,6M,126,5152,2024-10-22,1.540229082107544,0.9979743361473083
MLP,1Y,6M,126,5162,2024-11-05,1.9537588357925415,1.4447165727615356
MLP,1Y,6M,126,5172,2024-11-19,1.7375540733337402,1.1822420358657837
MLP,1Y,6M,126,5182,2024-12-03,1.6161959171295166,0.9311457276344299
MLP,1Y,6M,126,5192,2024-12-17,1.8233225345611572,1.1078505516052246
MLP,1Y,6M,126,5202,2025-01-03,1.4508458375930786,0.8424017429351807
MLP,1Y,6M,126,5212,2025-01-17,1.5193158388137817,0.8493106961250305
MLP,1Y,6M,126,5222,2025-01-31,1.662153720855713,1.2155534029006958
MLP,1Y,6M,126,5232,2025-02-14,1.4035158157348633,0.7643030881881714
MLP,1Y,6M,126,5242,2025-02-28,1.4367493391036987,0.8943489193916321
MLP,1Y,6M,126,5252,2025-03-14,1.3913509845733643,0.7907590270042419
MLP,1Y,6M,126,5262,2025-03-28,1.657562255859375,1.226839303970337
MLP,1Y,6M,126,5272,2025-04-11,1.8707375526428223,1.460108995437622
MLP,1Y,6M,126,5282,2025-04-29,1.4580509662628174,0.9787085652351379
MLP,1Y,6M,126,5292,2025-05-13,0.9677481055259705,0.6089795827865601
MLP,1Y,6M,126,5302,2025-05-27,1.0064537525177002,0.629862368106842
MLP,1Y,6M,126,5312,2025-06-10,1.0190651416778564,0.7541048526763916
MLP,1Y,6M,126,5322,2025-06-24,0.9737516641616821,0.7309293746948242
MLP,1Y,6M,126,5332,2025-07-08,0.9576409459114075,0.7668997049331665
MLP,1Y,6M,126,5342,2025-07-22,0.8644087314605713,0.5850121974945068
MLP,1Y,6M,126,5352,2025-08-05,0.7618338465690613,0.4989461302757263
MLP,1Y,6M,126,5362,2025-08-19,0.8157785534858704,0.6118358373641968
LSTM,10Y,2M,42,2520,2014-07-24,0.8936597108840942,0.5968233346939087
LSTM,10Y,2M,42,2530,2014-08-07,0.9858705997467041,0.739307701587677
LSTM,10Y,2M,42,2540,2014-08-21,1.2620526552200317,0.708636462688446
LSTM,10Y,2M,42,2550,2014-09-04,1.2908576726913452,0.7839406132698059
LSTM,10Y,2M,42,2560,2014-09-18,1.3564571142196655,0.9734637141227722
LSTM,10Y,2M,42,2570,2014-10-02,1.3167771100997925,0.7208493947982788
LSTM,10Y,2M,42,2580,2014-10-16,1.4435014724731445,0.7855710983276367
LSTM,10Y,2M,42,2590,2014-10-30,1.4857966899871826,0.8130841255187988
LSTM,10Y,2M,42,2600,2014-11-13,1.6526492834091187,0.71434485912323
LSTM,10Y,2M,42,2610,2014-11-27,1.7541744709014893,1.0171111822128296
LSTM,10Y,2M,42,2620,2014-12-11,1.539409875869751,0.9490398168563843
