Date,rel_day,error,model,event_name
2009-03-23,118.0,-3.9923966,MLP1Y,2008 Financial Crisis
2009-03-24,119.0,-0.41071886,MLP1Y,2008 Financial Crisis
2009-03-25,120.0,-1.4247935,MLP1Y,2008 Financial Crisis
2009-03-26,121.0,-1.9074994,MLP1Y,2008 Financial Crisis
2009-03-27,122.0,2.0909047,MLP1Y,2008 Financial Crisis
2009-03-30,123.0,5.6182756,MLP1Y,2008 Financial Crisis
2009-03-31,124.0,-3.5862317,MLP1Y,2008 Financial Crisis
2009-04-01,125.0,-0.45431256,MLP1Y,2008 Financial Crisis
2009-04-02,126.0,-6.099124,MLP1Y,2008 Financial Crisis
2009-04-03,127.0,1.6450722,MLP1Y,2008 Financial Crisis
2009-04-06,128.0,-0.25430197,MLP1Y,2008 Financial Crisis
2009-04-07,129.0,0.91296375,MLP1Y,2008 Financial Crisis
2009-04-08,130.0,0.008401573,MLP1Y,2008 Financial Crisis
2009-04-09,131.0,-3.5345979,MLP1Y,2008 Financial Crisis
2009-04-14,132.0,-1.9810138,MLP1Y,2008 Financial Crisis
2009-04-15,133.0,0.40976578,MLP1Y,2008 Financial Crisis
2009-04-16,134.0,-1.147233,MLP1Y,2008 Financial Crisis
2009-04-17,135.0,-1.508531,MLP1Y,2008 Financial Crisis
2009-04-20,136.0,3.7979999,MLP1Y,2008 Financial Crisis
2009-04-21,137.0,0.2052849,MLP1Y,2008 Financial Crisis
2009-04-22,138.0,-1.4549906,MLP1Y,2008 Financial Crisis
2009-04-23,139.0,1.6616654,MLP1Y,2008 Financial Crisis
2008-03-19,-140.0,0.42182863,LSTM1Y,2008 Financial Crisis
2008-03-20,-139.0,0.7011144,LSTM1Y,2008 Financial Crisis
2008-03-25,-138.0,-4.5239754,LSTM1Y,2008 Financial Crisis
2008-03-26,-137.0,0.4104886,LSTM1Y,2008 Financial Crisis
2008-03-27,-136.0,-1.5749505,LSTM1Y,2008 Financial Crisis
2008-03-28,-135.0,0.006313741,LSTM1Y,2008 Financial Crisis
2008-03-31,-134.0,0.16605867,LSTM1Y,2008 Financial Crisis
2008-04-01,-133.0,-3.574744,LSTM1Y,2008 Financial Crisis
2008-04-02,-132.0,-0.81579345,LSTM1Y,2008 Financial Crisis
2008-04-03,-131.0,0.70848083,LSTM1Y,2008 Financial Crisis
2008-04-04,-130.0,-0.7024401,LSTM1Y,2008 Financial Crisis
2008-04-07,-129.0,-1.3120399,LSTM1Y,2008 Financial Crisis
2008-04-08,-128.0,0.35168353,LSTM1Y,2008 Financial Crisis
2008-04-09,-127.0,0.8334925,LSTM1Y,2008 Financial Crisis
2008-04-10,-126.0,0.4086364,LSTM1Y,2008 Financial Crisis
2008-04-11,-125.0,1.0080993,LSTM1Y,2008 Financial Crisis
2008-04-14,-124.0,0.47984374,LSTM1Y,2008 Financial Crisis
2008-04-15,-123.0,-1.3282655,LSTM1Y,2008 Financial Crisis
2008-04-16,-122.0,-2.029818,LSTM1Y,2008 Financial Crisis
2008-04-17,-121.0,0.079266906,LSTM1Y,2008 Financial Crisis
2008-04-18,-120.0,-2.3684647,LSTM1Y,2008 Financial Crisis
2008-04-21,-119.0,1.1816541,LSTM1Y,2008 Financial Crisis
2008-04-22,-118.0,0.6900536,LSTM1Y,2008 Financial Crisis
2008-04-23,-117.0,-1.0810989,LSTM1Y,2008 Financial Crisis
2008-04-24,-116.0,-0.037095323,LSTM1Y,2008 Financial Crisis
2008-04-25,-115.0,-1.1212966,LSTM1Y,2008 Financial Crisis
2008-04-28,-114.0,-0.49861908,LSTM1Y,2008 Financial Crisis
2008-04-29,-113.0,0.47857326,LSTM1Y,2008 Financial Crisis
2008-04-30,-112.0,-0.3518082,LSTM1Y,2008 Financial Crisis
2008-05-01,-111.0,0.2416774,LSTM1Y,2008 Financial Crisis
2008-05-02,-110.0,-0.9134711,LSTM1Y,2008 Financial Crisis
2008-05-05,-109.0,0.74860835,LSTM1Y,2008 Financial Crisis
2008-05-06,-108.0,0.75574195,LSTM1Y,2008 Financial Crisis
2008-05-07,-107.0,-0.7893581,LSTM1Y,2008 Financial Crisis
2008-05-08,-106.0,0.15455058,LSTM1Y,2008 Financial Crisis
2008-05-09,-105.0,1.3403379,LSTM1Y,2008 Financial Crisis
2008-05-12,-104.0,-0.6494924,LSTM1Y,2008 Financial Crisis
2008-05-13,-103.0,-0.002943404,LSTM1Y,2008 Financial Crisis
2008-05-14,-102.0,-1.0529816,LSTM1Y,2008 Financial Crisis
2008-05-15,-101.0,0.36457676,LSTM1Y,2008 Financial Crisis
2008-05-16,-100.0,-0.31490713,LSTM1Y,2008 Financial Crisis
2008-05-19,-99.0,-0.5337734,LSTM1Y,2008 Financial Crisis
2008-05-20,-98.0,1.7944312,LSTM1Y,2008 Financial Crisis
2008-05-21,-97.0,0.43294373,LSTM1Y,2008 Financial Crisis
2008-05-22,-96.0,-0.19111575,LSTM1Y,2008 Financial Crisis
2008-05-23,-95.0,1.3833455,LSTM1Y,2008 Financial Crisis
2008-05-26,-94.0,-0.4875087,LSTM1Y,2008 Financial Crisis
2008-05-27,-93.0,0.016590029,LSTM1Y,2008 Financial Crisis
2008-05-28,-92.0,-1.2019346,LSTM1Y,2008 Financial Crisis
2008-05-29,-91.0,-0.24097715,LSTM1Y,2008 Financial Crisis
2008-05-30,-90.0,-0.6995184,LSTM1Y,2008 Financial Crisis
2008-06-02,-89.0,1.795651,LSTM1Y,2008 Financial Crisis
2008-06-03,-88.0,-0.37622413,LSTM1Y,2008 Financial Crisis
2008-06-04,-87.0,1.0263449,LSTM1Y,2008 Financial Crisis
2008-06-05,-86.0,0.22609085,LSTM1Y,2008 Financial Crisis
2008-06-06,-85.0,1.9384893,LSTM1Y,2008 Financial Crisis
2008-06-09,-84.0,-0.22683905,LSTM1Y,2008 Financial Crisis
2008-06-10,-83.0,0.30821887,LSTM1Y,2008 Financial Crisis
2008-06-11,-82.0,1.3451461,LSTM1Y,2008 Financial Crisis
2008-06-12,-81.0,-1.3369871,LSTM1Y,2008 Financial Crisis
2008-06-13,-80.0,-1.319985,LSTM1Y,2008 Financial Crisis
2008-06-16,-79.0,0.79684854,LSTM1Y,2008 Financial Crisis
2008-06-17,-78.0,-1.0887637,LSTM1Y,2008 Financial Crisis
2008-06-18,-77.0,1.1856877,LSTM1Y,2008 Financial Crisis
2008-06-19,-76.0,-0.04698825,LSTM1Y,2008 Financial Crisis
2008-06-20,-75.0,1.4290321,LSTM1Y,2008 Financial Crisis
2008-06-23,-74.0,-0.6559762,LSTM1Y,2008 Financial Crisis
2008-06-24,-73.0,0.1320346,LSTM1Y,2008 Financial Crisis
2008-06-25,-72.0,-1.9683096,LSTM1Y,2008 Financial Crisis
2008-06-26,-71.0,2.3378594,LSTM1Y,2008 Financial Crisis
2008-06-27,-70.0,0.46565923,LSTM1Y,2008 Financial Crisis
2008-06-30,-69.0,-0.45679522,LSTM1Y,2008 Financial Crisis
2008-07-01,-68.0,1.3038061,LSTM1Y,2008 Financial Crisis
2008-07-02,-67.0,-0.24471587,LSTM1Y,2008 Financial Crisis
2008-07-03,-66.0,-1.7348312,LSTM1Y,2008 Financial Crisis
2008-07-04,-65.0,1.3275733,LSTM1Y,2008 Financial Crisis
2008-07-07,-64.0,-2.261888,LSTM1Y,2008 Financial Crisis
2008-07-08,-63.0,0.8484907,LSTM1Y,2008 Financial Crisis
2008-07-09,-62.0,-2.1209257,LSTM1Y,2008 Financial Crisis
2008-07-10,-61.0,1.4218506,LSTM1Y,2008 Financial Crisis
2008-07-11,-60.0,2.0487392,LSTM1Y,2008 Financial Crisis
2008-07-14,-59.0,-1.1319003,LSTM1Y,2008 Financial Crisis
2008-07-15,-58.0,1.9066991,LSTM1Y,2008 Financial Crisis
2008-07-16,-57.0,-1.8921335,LSTM1Y,2008 Financial Crisis
2008-07-17,-56.0,-2.924172,LSTM1Y,2008 Financial Crisis
2008-07-18,-55.0,-1.7348299,LSTM1Y,2008 Financial Crisis
2008-07-21,-54.0,-0.54032487,LSTM1Y,2008 Financial Crisis
2008-07-22,-53.0,0.45225722,LSTM1Y,2008 Financial Crisis
2008-07-23,-52.0,-1.0644226,LSTM1Y,2008 Financial Crisis
2008-07-24,-51.0,1.1618004,LSTM1Y,2008 Financial Crisis
2008-07-25,-50.0,0.38337496,LSTM1Y,2008 Financial Crisis
2008-07-28,-49.0,1.8494645,LSTM1Y,2008 Financial Crisis
2008-07-29,-48.0,-0.36788294,LSTM1Y,2008 Financial Crisis
2008-07-30,-47.0,-1.602268,LSTM1Y,2008 Financial Crisis
2008-07-31,-46.0,0.2638866,LSTM1Y,2008 Financial Crisis
2008-08-01,-45.0,2.0412884,LSTM1Y,2008 Financial Crisis
2008-08-04,-44.0,0.7942519,LSTM1Y,2008 Financial Crisis
2008-08-05,-43.0,-2.7827241,LSTM1Y,2008 Financial Crisis
2008-08-06,-42.0,0.1472426,LSTM1Y,2008 Financial Crisis
2008-08-07,-41.0,0.9195377,LSTM1Y,2008 Financial Crisis
2008-08-08,-40.0,-0.14876062,LSTM1Y,2008 Financial Crisis
2008-08-11,-39.0,-0.44911218,LSTM1Y,2008 Financial Crisis
2008-08-12,-38.0,0.5892593,LSTM1Y,2008 Financial Crisis
